University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of Groningen,RUG,,,,,,,,,,,,,https://www.rug.nl/ocasys/rug/main,,
University of Groningen,RUG,Honours College,A comprehensive understanding of stem cell biology (Faculty of Medical Sciences),,"L. Barazzuol
             prof. dr. R.P. Coppes
             prof. dr. G. de Haan
             prof. dr. J.J. Schuringa
             dr. J. van Zanten",,Open only to non-Faculty of Medical Sciences students.Only available for students who have been accepted into the BA Honours College Programme.,,"Aims:- To obtain knowledge of and insight into fundamental (stem) cell biology processes and principles;- To obtain knowledge in fundamental processes in (epi)genetics;- To understand the relation between stem cells, disease and therapy.Skills:- To be able to discuss basic stem cell biology and to convey this information to a broad audience;- To be able to understand and identify possible therapeutic applications and to convey this information to a broad audience and to the media;- To be able to identify novel trends and future perspectives for stem cell biology but also to understand limitations;- To be able to discuss ethical issues of stem cell biology.",,,"Stem cell biology is a rapidly developing research field that has large implications for our understanding of human genetics, human disease and ageing. The technology applied in stem cell research is very complex and the constant development of knowledge is fast. This makes the supply of information to a broad audience and to the media a challenge.In a series of lectures we will explore all relevant issues on technology, practical applications and future perspectives of stem cell biology.The course will be supported by a team of stem cell specialists that will provide lectures and reading material, the course also includes a stem cell laboratory tour.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/honours/vak/show?code=HCMWB0205,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=16706
University of Groningen,RUG,Gedrags- en MaatschappijWetenschappen,A Practical Introduction to Research Methods,,"dr. N.A. Borger
             dr. S.E. Dalley
              T.J. Downer  MSc.
             dr. Y. Groen",,,,"Na het voltooien van de cursus kunnen studenten:-	De kernbegrippen van onderzoeksmethoden in de psychologische onderzoekspraktijk uitleggen en aanduiden;-	Deelname aan eenvoudige experimenten en de verkregen gegevens statistisch verwerken in een eenvoudige vorm, op het niveau van statistiek-1a en deels -1b;-	De verwerkte data vergelijken met de hypothese en tentatieve conclusies trekken over het al dan niet ondersteund worden van de hypothese;-	Ethische principes en procedures identificeren en uitleggen om mensen in onderzoek te beschermen;-	Concepten uit de theorie-data-cyclus op gepaste wijze implementeren tijdens het uitvoeren van de onderzoekspractica;-	Reflecteren op psychologisch wetenschappelijk onderzoek vanuit persoonlijke ervaringen als deelnemer aan diverse onderzoeken van het Heymans Instituut.",,,"Tijdens practicum 1a, in blok 1a, wordt de kennis die in het theoretische deel is opgedaan toegepast en getoetst. Hiertoe wordt de vorm van Learning Communities gebruikt. De opdrachten sluiten nauw aan bij de inhoud van de hoorcolleges van “Theoretische Introductie in Onderzoeksmethoden” (PSBA1-27).In het computerpracticum 1b, in blok 1b, maken studenten kennis met zelf onderzoek uitvoeren en gegevens verwerken aan de hand van vijf (klassieke) experimenten uitgevoerd binnen het Heymans Instituut. Een docent zal aanwezig zijn om de onderwerpen te introduceren en discussies te begeleiden. Studenten worden aangemoedigd om kritische vragen te stellen en onderling samen te werken bij de taken en het beantwoorden van de studievragen.In het Onderzoeksdeelnamepracticum, dat het gehele studiejaar doorloopt, doen de studenten persoonlijke ervaring op als deelnemer aan lopende onderzoeken van het Heymans Instituut. Deze onderzoeken plannen de studenten zelf in via een online systeem, waarmee deelname credits worden verdiend. Dit onderdeel van de cursus omvat 30 zogenoemde SONA-uren. Voor studenten die niet deel willen nemen aan deze onderzoeken is er de mogelijkheid voor een vervangende schrijfopdracht.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/gmw/vak/show?code=PSBE1-28,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=897
University of Groningen,RUG,Gedrags- en MaatschappijWetenschappen,A Socio-Contextual Perspective on Gender and Sexuality,,L. Baams  PhD.,,,,On completion of this course you are able to:- explain the role of socio-contextual factors in gender and sexual development;- explain how gender and sexual diversity is related to practices of inclusion and exclusion;- analyze marginalization of youth and consequences for health and wellbeing;- evaluate laws and policies aimed at protecting sexual and gender minority groups;- critically evaluate scientific research on gender and sexuality in education,,,"Gender and sexual orientation are examples of social categories of diversity. In this course, we will study meanings of these social categories in relation to access to education, academic success, and processes of in- and exclusion. These processes have a profound impact on young people and shape their futures. Psychological, sociological, and pedagogical perspectives on gender and sexuality will be discussed with respect to educational settings. Seminars serve to consolidate and apply new information, and aim to equip students with knowledge and skills to critically contribute to discussions surrounding gender and sexuality in education.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/gmw/vak/show?code=PAMIN19,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=12007
University of Groningen,RUG,Gedrags- en MaatschappijWetenschappen,A Theoretical Introduction to Research Methods,,dr. S.E. Dalley,,,,"Aan het einde van het vak en na het lezen van de voorgeschreven teksten zouden studenten moeten kunnen• Beschrijven en uitleggen wat de kenmerken zijn van wetenschappelijke en niet-wetenschappelijke manieren van denken;• Beschrijven en uitleggen wat ethische onderzoeksmethoden zijn;• Beoordelen wat de kwaliteiten zijn van gebruikte onderzoeksmethoden;• Beschrijven en uitleggen wat de essentiële kenmerken zijn van experimentele, correlationele, beschrijvende, quasi-experimentele en kleinschalige onderzoeksconstructies, alsmede diverse kwalitatieve methoden;• Artikelen in populaire media en onderzoekspublicaties kritisch beoordelen.",,,"Ten eerste probeert dit vak studenten een overzicht te geven van hoe wetenschappers in de psychologie denken en hoe zij te werk gaan. Studenten maken kennis met de aard van de wetenschap van psychologie en hoe dit verschilt met die van pseudowetenschap; de fundering van wetenschappelijk denken en het proces waarbij wetenschappers in de psychologie (a) ideeën ontwikkelen en hypotheses formuleren, (b) studies ontwerpen, (c) onderzoek uitvoeren, (d) analyses uitvoeren, en (e) juiste conclusies trekken. Tijdens dit proces worden studenten bekend met de ethiek van psychologische onderzoeken en de verschillende methodes die worden gebruikt om psychologische fenomenen te bestuderen.Ten tweede heeft het vak als doel studenten te helpen voorbereiden op de tweede en derde jaren van hun studie. Tevens worden ze ook kritische consumenten van informatie over onderzoek in het algemeen. Studenten ontwikkelen de kennis om later beschrijvingen van onderzoek in wetenschappelijke artikelen en tekstboeken kritisch te kunnen lezen. Ook moeten ze kritisch kunnen zijn over eigen onderzoek. Tevens zullen ze stellingen in de media, pseudowetenschappelijke stukken en advertenties beter kunnen beoordelen.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/gmw/vak/show?code=PSBE1-27,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=1033
University of Groningen,RUG,Rechtsgeleerdheid,Aanbestedingsrecht,,prof. mr. dr. H.D. van Romburgh,,Dit vak is alleen toegankelijk voor studenten die zijn toegelaten tot een masteropleiding van de Faculteit Rechtsgeleerdheid.,,De studenten hebben aan het einde van de cursus een zodanig inzicht en overzicht in de basis van het Europese en Nederlandse aanbestedingsrecht verkregen dat zij met de opgedane kennis algemene aanbestedingsrechtelijke vraagstukken kunnen oplossen.,,,"De zeven weken aanbestedingsrecht beogen niet uitputtend te zijn. De cursus beoogt de studenten aan de hand van Nederlandse en Europese jurisprudentie te laten zien dat het er bij het aanbestedingsrecht – als volwaardig onderdeel van het Europese recht - in belangrijke mate om gaat om het ‘interstatelijk handelsverkeer’ te bevorderen en om dat te bewerkstelligen zijn er procedureregels opgesteld. Daarbij staan de Europeesrechtelijke speerpunten als het beginsel van non-discriminatie, het gelijkheidsbeginsel, transparantie en proportionaliteit centraal.Bij het aanbestedingsrecht zijn er vele raakvlakken met andere rechtsgebieden – vooral het privaatrecht en het mededingingsrecht. Dat geeft het vak zijn bijzondere karakter. Aanbestedingsrechtelijke kennis is zeer gewild bij advocatuur en overheid.Het aantal deelnemers wordt beperkt gehouden waardoor er met een interactieve benadering college kan worden gegeven. Dat vereist dat studenten voorbereid op college verschijnen. Alleen dan kan het maximale uit de cursus worden gehaald. Als tentamenvorm is gekozen voor het schrijven van een paper (in de vorm van een korte scriptie).",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/rechten/vak/show?code=RGMEE00406,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=9229
University of Groningen,RUG,Honours College,Gaswinning en aardbevingen in Groningen: wat is er aan de hand? (Honours College),,"M.M. Bakema  MSc.
              H.B. Kanis  MSc.",,This module is open to all HC bachelor students (no faculty excluded).Only available for students who have been accepted into the BA Honours College Programme.,,"-	Developing insights into the causes, social lead-up and consequences of the earthquakes in Groningen;-	Developing insights into a wide variety of research and professional fields that are involved with this issue (activism, housing market, health, risk, politics, etc.)-	Forming an opinion on difficult issues rising from the gas extraction (how should the Dutch government treat citizens of Groningen? Should the Netherlands transition to other sources of energy? Is this a national disaster?)",,,"Since 1963, gas extraction is taking place in the Northern Province of Groningen in the Netherlands. For a long time, the gas extraction generated a lot of revenues for the Dutch state. The population in Groningen was proud of the gas extraction and that it contributed to the growing wealth of the Netherlands. However, the first negative consequences of the gas extraction started to be revealed since the 1980s when the first signs of ground movement were observed. Whereas the relationship between the gas extraction and ground movement was denied for a many years, the influence of the gas extraction on the soil was acknowledged when the first signs of soil subsidence came to the fore. In the years that followed, earthquakes were observed which were also a result of the decreasing pressure in the earth due to the gas extraction. From the 1990s untill 2012, the earthquakes were of a low magnitude and caused mainly problems with regard to damage and cracks in walls of houses and buildings. However, this changed in August 2012 when an earthquake hit near the village of Huizinge. This earthquake, with a magnitude of 3.6 on the Richter scale, marks a big change in the earthquake and gas extraction issues, as this was no longer limited to damage issues, but extended to safety matters of the population.In order to deal in an adequate way with the problems, several institutions are installed to coordinate the actions of the different local tiers of government and to conduct damage assessments. Yet, the Dutch state is very much interwoven with the private company that extracts the gas from the soil. These public-private sector interrelationships make the governance system for dealing with and solving the issues highly complex. These characteristics of the earthquakes have a big influence on the social acceptance and impact, the mental wellbeing of the population, the decreasing housing and real estate values of the properties in the area, and governance approach to deal with the earthquake issues.In this broadening module, we will delve into the various topics related to the earthquake issues in Groningen. From an interdisciplinary perspective, professors from different expertise areas will share their insights into the earthquake and gas extraction issues. At the end of the course, students are able to understand the situation of the earthquakes and gas extraction in Groningen in an integral way and to reflect on societal, economic and technical complexities inherent to extractive industries.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/honours/vak/show?code=HCRUB0605,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=12593
University of Groningen,RUG,Letteren,Academische vaardigheden Midden-Oosten Studies 1,,"dr. P.G.T. Nanninga
              F. Valk",,Geen,,"1. Na afloop van de module beheerst de student over academische vaardigheden met betrekking tot bibliotheekgebruik, annotatie, het opstellen van een onderzoeksvraag, de opbouw van een academisch betoog en het trekken van een conclusie op basisniveau;2. Na afloop van de module is de student in staat een eenvoudig onderzoek op te zetten, uit te voeren en schriftelijk te presenteren waarin bovenstaande vaardigheden worden getoond;3. Na afloop van de module is de student in staat om opbouwend commentaar te geven op onderzoek van medestudenten naar inhoud, structuur en wetenschappelijke kwaliteit.",,,"In deze module staat het aanleren van academische vaardigheden centraal en wordt aandacht besteed aan de verscheidene facetten van het opzetten en schrijven van een academisch onderzoek. In de loop van de module zetten studenten een eigen onderzoek op en in de colleges wordt stapsgewijs ingegaan op de verschillende fasen van het opzetten van een onderzoek. Essentiële vaardigheden als literatuurgebruik, annoteren, het formuleren van een vraagstelling en het opbouwen van een betoog zullen geïntroduceerd worden. In de laatste week bespreken studenten elkaars werk in peer-review sessies.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/let/vak/show?code=LXX023P05,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=5528
University of Groningen,RUG,Letteren,Academische vaardigheden Midden-Oosten Studies 2,,"dr. P.G.T. Nanninga
              J. van den Berg",,"Omdat het aanleren van onderzoeksvaardigheden voor studenten Midden-Oostenstudies centraal staat, wordt het afgeraden dit vak als bijvak te volgen.",,"Na succesvolle afronding van het studieonderdeel zijn studenten in staat om: 1. Door middel van een scherpe vraagstelling  een onderzoek over een thema met betrekking tot het moderne Midden-Oosten op te zetten, uit te voeren en schriftelijk te presenteren in een onderzoekspaper.2. Opbouwend commentaar te geven op onderzoek van medestudenten naar inhoud, structuur en wetenschappelijke kwaliteit in een recensie (peer review).3. De onderscheidende kenmerken te beschrijven van de  binnen het vakgebied gangbare onderzoeksmethoden: historische bronkritiek, historiografie, interviews en content analysis, en deze onderzoeksmethoden kritisch te evalueren.",,,Centraal in deze module staat het verder ontwikkelen en aanscherpen van onderzoeksvaardigheden die de student heeft opgedaan in het vak Academische Vaardigheden 1. De student maakt kennis met onderzoeksmethoden die gangbaar zijn in historisch en sociaal-cultureel onderzoek naar onderwerpen gerelateerd aan het Midden-Oosten. Gedurende de module zetten de studenten een eigen onderzoek op naar een modern  Midden-Oosters onderwerp. Dat onderzoek resulteert in een onderzoekspaper dat door medestudenten wordt gerecenseerd en na aanpassing op basis van deze ‘peer feedback’ door de docent wordt beoordeeld.,,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/let/vak/show?code=LXX025P05,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=5528
University of Groningen,RUG,Campus Fryslân,Academic Communication,,T.U. Ansari  PhD.,,Admission to the Bachelor’s degree programme of Global Responsibility & Leadership.,,"Upon the successful completion of this course, students will have acquired skills relating to written and verbal communication, including how to:- analyse text critically- review literature using academic sources- reference sources properly to give authors credit and avoid plagiarism- structure an academic paper in a logical and coherent way- think critically, reason scientifically, and recognize fallacies in written and oral arguments- giving a structured presentation, using persuasive techniques to engage different audiences- conduct peer review, giving and receiving feedback",,,"The course aims to transfer academic communication skills in the field of writing, presenting and scientific discourse. Specifically, students will learn to develop strategies for finding, analysing and presenting (orally and in writing) academic literature, research, and results relating to the SDGs and other topics. Furthermore, students will learn the tenants of academic communication, including how to structure coherent logical arguments, present complex ideas in a clear and engaging way, and perform literature reviews. Techniques for providing peer feedback are also part of the programme, in addition to essential study skills such as online library use, referencing requirements and avoiding plagiarism. This course provides skills which are key for the GRL bachelor course programme.",,https://www.rug.nl/ocasys/rug/main,http://www.rug.nl/ocasys/cf/vak/show?code=CFB010A05,https://www.rug.nl/ocasys/rug/vak/viewtutor?tutor=21219
